gauge_id,elev_mean,slope_mean,area_gages2,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,organic_frac,geol_permeability
1013500,250.31,21.64152,2252.7,3.126678987,1.971554511,0.630558659,0.187940259,0.313440357,12.95,1.348958333,202.2,3.427118644,0.9063,4.167303946,3.340731859,0.80456742,0.371648163,7.404761905,1.248407925,0.461148751,1.106522476,0.558054827,27.84182729,55.15694003,16.27573172,0.408716765,-14.7019
1022500,92.68,17.79072,573.6,3.608125941,2.119255948,0.587356423,-0.114529586,0.245259009,20.55,1.205278592,233.65,3.662225705,0.9232,4.871392439,3.746691616,0.863935769,0.337712462,17.41280788,1.491845516,0.415905486,2.375005063,0.626228878,59.39015616,28.0809367,12.03764581,0,-14.2138
1030500,143.8,12.79195,3676.17,3.274405202,2.043593566,0.624111385,0.047358189,0.277018403,17.15,1.207746479,215.6,3.514262429,0.8782,4.685199719,3.665542964,0.858502041,0.35139339,19.01141439,1.461363195,0.459090984,1.289807346,0.653019781,32.23545843,51.77918225,14.77682378,1.330277588,-14.4918
1031500,247.8,29.56035,769.05,3.522956879,2.071323696,0.58795034,0.104090599,0.291836473,18.9,1.14893617,227.35,3.473644003,0.9548,4.903259373,3.990843406,0.870668492,0.398619402,7.252557042,1.279046875,0.45023595,1.37329168,0.55912272,35.26903044,50.84123173,12.65412532,0,-14.841
1047000,310.38,49.92122,909.1,3.323145791,2.090023874,0.628929336,0.147775614,0.280118127,20.1,1.165217391,235.9,3.69170579,0.9906,5.086810765,4.300978387,0.891382765,0.445473208,5.359654944,1.392778549,0.422748959,2.615154283,0.561180826,55.16313347,34.18544336,10.3036221,0,-14.4819
1052500,615.7,60.05183,383.82,3.730858316,2.096423231,0.561914459,0.152096803,0.352698254,13.5,1.129707113,193.5,2.896706587,1,4.800829962,4.1243127,0.880034058,0.47732793,1.301349325,1.494807434,0.452325651,1.262995374,0.615537987,30.55766622,52.61464602,11.14332601,0,-15.1658
1054200,472.31,90.13951,180.98,4.067132101,2.128355058,0.523306105,0.104959635,0.29964154,17.5,1.194539249,220.3,3.263703704,1,5.019827283,4.28355132,0.886711471,0.455084305,0.914754098,1.477442198,0.418460873,2.919142483,0.594525958,58.37616918,31.836472,9.851261621,0,-14.2147
1055000,423.12,72.81304,250.64,3.494183436,2.093235291,0.599062794,0.167229041,0.306048852,19.15,1.167682927,224.85,3.37866266,0.9916,5.030032987,4.31922587,0.886163454,0.471431452,2.127058824,1.369656583,0.424025868,2.550001259,0.547020627,53.86201109,34.73449208,10.34632347,0,-14.3578
1057000,215.59,32.68445,190.92,3.570499658,2.132743778,0.597323619,0.079136849,0.251157673,20.35,1.16954023,239.3,3.747846515,0.9415,5.362948699,4.587077127,0.905510481,0.458742009,3.759146341,1.500000015,0.404117933,4.030392332,0.617100213,69.00673809,22.94329238,7.817564975,0,-13.9903
1073000,37.67,4.75043,31.3,3.503025325,2.207615715,0.630202614,0.030370013,0.175032435,20.85,1.226470588,249,4.016129032,0.9008,4.943949743,4.035087976,0.841420652,0.379144183,19.90909091,1.305619617,0.41639654,2.948670506,0.510061723,56.57096131,29.15505626,9.967266116,0,-14.1
1078000,346.92,49.77182,222.46,3.562888433,2.184144572,0.613026373,0.110482097,0.239718522,21.45,1.172131148,234.5,3.616037008,0.9873,5.391687137,4.505298773,0.898650643,0.424911376,3.639784946,1.500000015,0.40389262,4.025400765,0.618975203,69.15740644,22.80627789,7.848279334,0,-14.1061
1118300,36.7,8.76539,10.36,3.897430527,2.310036975,0.592707672,-0.037743187,0.111232483,21.5,1.295180723,244.6,4,0.933,5.582120612,4.807568587,0.911301526,0.469205885,12.92,1.500000015,0.414290146,3.271004515,0.59176261,60.60784181,28.75044697,9.27338817,0,-14.1
1121000,141.54,16.99385,70.25,3.719590691,2.301408433,0.618726259,0.004098324,0.154227151,21.5,1.197771588,241.7,3.721324095,0.9652,5.434685119,4.823193253,0.908561005,0.497627232,8.962264151,1.500000015,0.41727023,3.068217977,0.565559309,55.81394753,29.27511309,9.166663022,0,-14.1
1123000,120.1,17.14893,77.85,3.8242423,2.306333525,0.603082479,-0.001190031,0.136053399,21.15,1.233236152,241.1,3.879324216,0.9141,5.403096653,4.806143702,0.907407231,0.506890048,9.085106383,1.500000015,0.41712277,3.079459536,0.533849747,52.74689479,27.53463808,8.689368206,0,-14.1
1134500,450.54,47.54354,195.13,3.467412731,2.091698084,0.603244622,0.228672353,0.280582089,15.85,1.152727273,201.1,2.842402827,0.9963,4.930550384,4.273606729,0.886216249,0.476794083,4.074074074,1.143859996,0.439227361,1.755953065,0.476766758,42.58599324,43.33541291,12.7242065,0,-14.1198
1137500,784.85,110.13062,228.55,3.98419165,2.144045982,0.538138265,0.171647708,0.301814976,15.5,1.280991736,204.35,2.989758595,0.9972,4.541467702,3.658222608,0.865791461,0.393542621,1.561097257,1.198084251,0.419818682,2.777689532,0.475731839,53.80058342,30.32624438,8.728078551,0,-14.1
1139000,373.34,43.10796,246.33,3.13454757,2.113980287,0.67441321,0.232161714,0.246562672,18.65,1.169278997,219.65,3.227773696,0.9737,5.069473862,4.389500633,0.880091527,0.467340843,3.75,1.351692634,0.436952792,1.886761448,0.56363263,44.45661527,42.32229134,13.2940923,0,-12.922
1139800,518.15,40.99895,22.8,3.3035154,2.127185339,0.643915672,0.225579083,0.262328973,19.45,1.164670659,225.55,3.278343023,1,5.213125842,4.633122171,0.899032856,0.526026716,2.510638298,1.230223255,0.435806653,1.936255362,0.517910739,45.31480455,41.82104398,13.09817577,0,-11.8
1142500,346.62,46.92575,82.17,3.314670773,2.147046776,0.647740582,0.17461992,0.252307891,19.8,1.128205128,224.75,3.206134094,0.9799,4.886291991,4.237053137,0.884819537,0.493403982,2.876811594,1.456004424,0.43802036,1.778642926,0.622479307,43.40659614,41.92858137,14.43857614,0,-12.5655
1144000,459.8,60.29261,1790.24,3.420859685,2.157740342,0.630759675,0.191150164,0.248466349,19.05,1.133928571,225.15,3.315905744,0.9813,5.164034451,4.495081274,0.897221568,0.492946827,2.106799451,1.348786704,0.436028932,1.876624414,0.566679606,44.9595193,41.25753101,13.08239523,0,-13.3802
1162500,310.07,18.45782,49.71,3.783534565,2.257490363,0.596661752,0.047446147,0.226769185,21.1,1.14673913,240.45,3.634920635,0.9663,5.402681684,4.149711912,0.884472664,0.33293526,9.323076923,1.500000015,0.408761833,3.658027998,0.604397082,65.4867641,25.58957009,8.775571804,0,-14.1
1169000,374.89,49.54362,230.64,3.921166324,2.252516537,0.574450648,0.063828251,0.238972606,19.6,1.126436782,228.15,3.441176471,0.997,5.378126057,4.606850213,0.904142372,0.45568448,3.955613577,1.203181893,0.439941195,1.70345681,0.513362707,42.5077621,40.64332659,12.69671129,0,-14.2609
1170100,325.71,49.33091,106.99,3.894581793,2.242787461,0.57587376,0.065519098,0.234653735,19.95,1.108333333,226.35,3.373323398,0.997,5.384063869,4.619936647,0.899812263,0.456794566,3.654054054,1.186325378,0.431894768,2.042825775,0.491742644,48.4324115,40.00475156,11.70596598,0,-13.7095
1181000,417.93,33.2844,243.5,3.815023956,2.266098741,0.593993319,0.091932314,0.217563041,20.4,1.159090909,231.1,3.454409567,0.9944,5.385990011,4.703243126,0.903143493,0.481896141,5.0275,1.185016078,0.43235482,2.039482848,0.484301322,47.7674734,38.68631268,12.18011645,0,-14.1061
1187300,309.1,38.2676,53.92,3.950607803,2.280597782,0.577277699,0.087362954,0.201269336,21.15,1.181564246,236.55,3.608695652,0.9932,5.397198985,4.535364372,0.891263567,0.414442438,6.956521739,1.239681516,0.433983214,1.858861767,0.507236028,47.01299173,32.15730505,11.50902197,0,-14.8804
1195100,19.17,7.9307,14.84,3.682481862,2.353993196,0.639240948,-0.002279652,0.106042892,22.6,1.280453258,252.8,4.188898094,0.9171,5.469579471,4.831464812,0.907067965,0.497049297,14.44,1.500000015,0.417038235,3.09007932,0.594507697,58.88847572,30.57808159,9.53958967,0,-14.1
1333000,485.91,74.78725,112.16,3.704639288,2.212718385,0.597283085,0.146314739,0.222244968,19,1.210191083,227.9,3.409124907,0.9844,5.010562168,4.424147195,0.89490959,0.51914667,2.837837838,0.894269489,0.445119708,1.542100935,0.384365975,38.44172933,47.16651544,14.30550409,0,-13.3765
1350000,612.78,88.25169,612.51,3.86979603,2.246002067,0.580392881,0.111819706,0.231159658,20.4,1.172413793,235.9,3.528795812,0.9966,5.05258398,4.338213735,0.886759765,0.465373102,1.924089069,1.056071866,0.453190114,1.265259338,0.453996987,33.15468082,43.30053436,12.78443068,0,-15.2049
1350080,587.35,60.00338,83.84,3.492825462,2.239032772,0.641037692,0.145064802,0.221156578,20,1.166180758,235.75,3.46946284,0.994,5.013337258,4.144402116,0.877524311,0.429201487,3.054794521,1.211081188,0.451886963,1.268097499,0.524955107,33.349078,46.22284369,13.80884377,0,-15.3774
1350140,579.74,61.8248,43.76,3.501422313,2.240501054,0.639883126,0.157493263,0.219859027,18.4,1.179487179,227.4,3.283754513,0.991,5.045958479,4.268878933,0.886644695,0.459899742,3.222222222,0.914485276,0.46182318,1.06054056,0.363893906,22.78097141,49.36986199,13.58657719,0,-15.8034
1365000,465.17,51.87268,99.57,4.211436003,2.302954305,0.546833504,0.122173899,0.202270211,19.4,1.172205438,230.15,3.422304833,1,5.240053935,4.632726683,0.902036827,0.502087052,0.964705882,0.692277988,0.462963031,1.07409636,0.301407515,26.21848204,41.92431016,12.99114864,0,-15.2
1411300,15.25,2.0326,79.32,3.175449692,2.534943929,0.79829447,0.048562207,0.048094855,22.85,1.33625731,261.7,4.68157424,0.8487,5.353999055,4.574302867,0.893805808,0.440481796,49.296,1.500000015,0.40786963,3.459901727,0.365409199,39.68933797,14.09855521,5.837615946,0,-13
1413500,724.51,69.6517,424.1,3.832546201,2.234765435,0.583102021,0.146606145,0.216908034,18.7,1.154320988,224.6,3.190340909,0.9974,4.862055568,4.308753036,0.882832411,0.523567907,1.494252874,0.917915249,0.454590908,1.240832465,0.395298197,31.4215726,47.22427212,14.12566114,0,-15.1998
1414500,775.58,59.57585,64.45,3.979971253,2.229746119,0.560241765,0.154116607,0.216628505,19.35,1.162162162,223.8,3.152112676,1,5.089838653,4.55250318,0.888611918,0.524892152,1.063636364,0.723805925,0.462187414,1.089078881,0.297565969,25.05590543,43.37981127,12.77161598,0,-15.2
1415000,604.34,64.53263,85.63,3.773122519,2.237511444,0.593013196,0.14782152,0.213452185,18.3,1.180645161,215.55,3.068327402,1,4.764848731,4.22083492,0.876677801,0.522300698,2.181818182,0.951826103,0.454943729,1.248568979,0.423285871,31.30062846,52.43489298,15.1604822,0,-15.2
1423000,593.67,49.86765,859.68,3.703760438,2.226759959,0.601215979,0.142460685,0.217830298,15.95,1.16,211.35,3.006401138,0.9854,4.327719174,3.798575782,0.859112741,0.525288841,2.435565155,1.075945464,0.449091907,1.376533511,0.467035521,35.54869532,49.46806503,14.67282627,0,-15.1997
1434025,729.33,59.4071,9.7,4.437002053,2.272434374,0.512155358,0.134901265,0.237813731,19.15,1.178461538,224.8,3.21602289,1,5.143147348,4.649483013,0.894837677,0.541983527,0.833333333,0.666170913,0.464777927,1.043915853,0.289442338,25.07550536,40.24418325,12.47258091,0,-15.2
1435000,560.05,54.94492,172.46,4.317653662,2.29707295,0.532018807,0.134640859,0.223616269,19.5,1.167664671,226.65,3.289550073,1,5.203120359,4.644765532,0.898253636,0.51975401,1.12,0.738995257,0.459799234,1.130887342,0.321615576,28.25034296,44.20407655,13.74399602,0,-15.1995
1439500,307.06,22.25987,305.88,3.683258042,2.34455796,0.636544585,0.117754852,0.163765229,20,1.194029851,235.75,3.596491228,0.997,5.173878417,4.65243877,0.890052775,0.533022343,3.073770492,1.500000015,0.441740259,1.659095312,0.631275354,40.97317987,45.34151532,13.72385169,0,-15.2772
1440000,234.2,28.80165,167.72,3.549893224,2.343015893,0.660024329,0.107574487,0.147767408,20.3,1.237804878,242,3.928571429,0.908,5.283248892,4.757701793,0.896403759,0.534910927,4.186131387,1.500000015,0.440099538,1.74997097,0.501852732,32.95325403,33.66724948,11.14054718,0.171201351,-14.227
1440400,334.06,26.46515,175.21,3.753351129,2.336390335,0.622481152,0.115866621,0.172223371,20.4,1.179190751,234.9,3.556396669,0.9933,5.204995635,4.650073265,0.895056492,0.516361698,2.487632509,1.500000015,0.44758758,1.4455479,0.642701614,36.5670825,48.69474651,14.83017067,0,-14.8732
